Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
1020	GLGS11436-17|Chrysomelidae|143503266||Arthropoda|Insecta|Coleoptera|Chrysomelidae|||BOLD:ADI6890	143503266	180012	2.0143	18001	18001	OCT_COLE03	F05	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	31 Oct 2014	31 Oct 2014	2014	10	Zhiguang Yang			OTU_0005 
1021	GLGS10445-17|Staphylinidae|133681931||Arthropoda|Insecta|Coleoptera|Staphylinidae|||BOLD:ADJ3203	133681931	180022	2.0036	18002	18002	JUN_COLE15	C01	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0228 
1022	Juncole12-78	133681003	180012	2.0023	18001	18001	JUN_COLE12	G06	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0105 
1023	TMS|2.0032|Juncole08-41.fas|	144568550	140022	2.0032	14002	14002	JUN_COLE08	D05	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0319 
1024	GLGS8901-17|Chrysomelidae|132946089||Arthropoda|Insecta|Coleoptera|Chrysomelidae|||BOLD:ADI6890	132946089	140022	2.0038	14002	14002	JULY_COLE06	B09	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0005 
1025	GLGS10178-17|Anthribidae|133680939||Arthropoda|Insecta|Coleoptera|Anthribidae|||BOLD:ADJ0822	133680939	180022	2.0036	18002	18002	JUN_COLE11	B05	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0024 
1026	GLGS10455-17|Staphylinidae|133683201||Arthropoda|Insecta|Coleoptera|Staphylinidae|||BOLD:ADI6239	133683201	180022	2.0036	18002	18002	JUN_COLE15	D06	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_2210 
1027	GLGS10134-17|Staphylinidae|133681260||Arthropoda|Insecta|Coleoptera|Staphylinidae|||BOLD:ADJ3203	133681260	180012	2.0035	18001	18001	JUN_COLE10	E02	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0228 
1028	TMS|2.0024|Juncole08-36.fas|	144566379	180022	2.0024	18002	18002	JUN_COLE08	C12	98.78954	25.30451	1811	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0195 
1029		132948523	140022	2.0038	14002	14002	JULY_COLE06	B12	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang	89_39.jpg		
